same_srv_rate,src_bytes,dst_host_diff_srv_rate,protocol_type,class
0.17,0,0.07,1,9
0.05,0,0.07,1,9
1.0,1075,0.17,1,11
1.0,223,0.0,1,11
1.0,350,0.02,1,21
1.0,233,0.0,1,11
0.04,0,0.05,1,9
0.08,0,0.06,1,9
1.0,201,0.0,1,11
1.0,271,0.0,1,11
1.0,14416,0.02,1,11
1.0,227,0.0,1,11
0.0,0,0.52,1,15
1.0,225,0.0,1,11
1.0,176,0.0,1,11
0.1,0,0.06,1,9
1.0,227,0.0,1,11
1.0,855,0.02,1,11
1.0,944,0.02,1,11
0.5,954,0.11,1,11
0.09,0,0.07,1,9
1.0,166,0.0,1,11
1.0,306,0.01,1,11
0.15,0,0.05,1,9
0.01,0,0.8,1,17
1.0,1480,0.0,0,14
0.06,0,0.07,1,9
1.0,313,0.0,1,11
0.08,0,0.05,1,9
0.09,0,0.06,1,9
1.0,285,0.0,1,11
1.0,226,0.0,1,11
1.0,256,0.0,1,11
1.0,3740,0.02,1,11
1.0,224,0.0,1,11
0.03,0,0.07,1,9
1.0,832,0.0,1,21
0.08,0,0.07,1,9
1.0,8,0.0,0,5
1.0,201,0.0,1,11
1.0,285,0.0,1,11
0.19,0,0.05,1,9
1.0,7422,0.02,1,11
1.0,198,0.0,1,11
1.0,2310,0.02,1,11
1.0,331,0.0,1,11
0.22,65,0.01,0,11
1.0,28,0.01,2,20
1.0,45,0.01,2,11
0.01,0,0.07,1,9
0.03,0,0.07,1,9
0.02,0,0.06,1,9
1.0,9,0.03,1,11
1.0,283,0.0,1,11
1.0,221,0.0,1,11
1.0,18,0.0,0,5
0.01,0,0.07,1,9
0.07,0,0.03,1,9
0.03,0,0.06,1,9
1.0,302,0.02,1,11
0.06,0,0.1,1,9
1.0,8,0.0,0,5
0.07,0,0.05,1,9
1.0,355,0.0,1,11
1.0,8,0.0,0,5
1.0,106,0.04,1,11
1.0,286,0.0,1,11
1.0,1,0.74,1,15
1.0,0,1.0,1,10
1.0,1032,0.02,0,18
1.0,168,0.0,1,11
1.0,238,0.0,1,11
1.0,0,0.38,1,15
1.0,291,0.0,1,11
0.1,0,0.05,1,9
1.0,749,0.11,1,11
1.0,198,0.0,1,11
0.04,0,0.07,1,9
1.0,167,0.0,1,11
1.0,241,0.0,1,11
1.0,337,0.0,1,11
1.0,729,0.04,1,11
1.0,8,0.0,0,5
0.0,0,0.07,1,9
1.0,222,0.0,1,11
0.05,0,0.07,1,9
1.0,0,0.0,1,11
1.0,46,0.0,2,11
1.0,246,0.0,1,11
1.0,222,0.0,1,11
0.04,0,0.05,1,9
0.05,0,0.07,1,9
1.0,279,0.01,1,11
1.0,226,0.0,1,11
1.0,299,0.0,1,11
0.43,0,0.04,1,9
1.0,12,0.27,1,11
1.0,281,0.0,1,11
0.18,0,0.05,1,9
1.0,42,0.01,2,11
0.02,0,0.07,1,9
0.05,0,0.07,1,9
1.0,263,0.0,1,11
1.0,1,0.5,1,15
1.0,0,0.02,1,11
0.1,0,0.06,1,9
0.04,0,0.07,1,9
1.0,283,0.0,1,11
1.0,161,0.0,1,11
1.0,211,0.0,1,11
1.0,201,0.0,1,11
1.0,8,0.0,0,10
0.33,147,0.67,2,11
0.22,0,0.06,1,9
1.0,567,0.09,1,11
0.01,0,0.08,1,9
0.24,0,0.04,1,9
1.0,5131424,0.0,1,21
1.0,320,0.0,1,11
1.0,8,0.0,0,5
1.0,0,0.05,1,11
1.0,204,0.0,1,11
1.0,0,0.16,1,15
1.0,10389,0.02,1,11
0.09,0,0.07,1,9
1.0,344,0.0,1,11
0.11,0,0.06,1,9
0.08,0,0.07,1,9
1.0,243,0.0,1,11
1.0,1032,0.0,0,18
1.0,8,0.0,0,5
0.03,0,0.47,1,17
0.67,105,0.01,2,11
0.07,0,0.06,1,9
1.0,1080,0.02,1,11
0.02,0,0.05,1,9
0.02,0,0.07,1,9
0.01,0,0.07,1,9
0.5,657,0.6,1,11
0.07,0,0.07,1,9
1.0,284,0.0,1,11
1.0,261,0.0,1,11
1.0,317,0.0,1,11
1.0,33,0.03,2,11
0.5,0,0.6,1,15
1.0,0,0.64,1,15
1.0,44,0.01,2,11
1.0,215,0.0,1,11
0.03,0,0.07,1,9
1.0,332,0.0,1,11
1.0,978,0.03,1,11
1.0,296,0.0,1,11
0.1,0,0.07,1,9
0.07,0,0.09,1,9
1.0,214,0.0,1,11
0.03,0,0.07,1,9
1.0,48,0.05,2,11
1.0,226,0.0,1,11
0.08,0,0.08,1,9
0.4,78,0.01,0,11
0.01,0,0.07,1,9
1.0,0,0.0,1,11
0.07,0,0.07,1,9
1.0,0,1.0,1,5
0.5,0,0.53,1,15
1.0,294,0.0,1,11
0.01,0,0.05,1,9
1.0,220,0.0,1,11
0.0,0,1.0,1,17
1.0,196,0.0,1,11
0.05,0,0.08,1,9
1.0,327,0.0,1,11
0.01,0,0.07,1,9
1.0,319,0.5,1,11
1.0,1087,0.29,1,11
1.0,210,0.0,1,11
0.15,0,0.07,1,9
1.0,0,0.0,1,11
1.0,234,0.0,1,11
1.0,8,0.0,0,5
1.0,54540,0.0,1,0
1.0,237,0.0,1,11
0.24,0,0.03,1,9
0.04,0,0.07,1,9
1.0,200,0.0,1,11
1.0,219,0.0,1,11
1.0,284,0.0,1,11
0.06,0,0.08,1,9
1.0,325,0.0,1,11
0.05,0,0.07,1,9
1.0,30,0.0,0,11
1.0,335,0.0,1,11
1.0,36,0.0,2,11
0.02,0,0.08,1,9
1.0,43,0.0,2,11
0.07,0,0.07,1,9
1.0,0,0.0,1,11
0.33,0,0.1,1,9
0.13,0,0.06,1,9
1.0,216,0.0,1,11
0.06,0,0.05,1,9
1.0,44,0.01,2,11
1.0,347,0.0,1,11
1.0,570,0.05,1,11
1.0,219,0.0,1,11
0.33,146,0.53,2,11
0.0,0,0.06,1,9
0.03,0,0.08,1,9
0.06,0,0.08,1,9
0.11,0,0.05,1,9
1.0,1,0.82,1,15
0.19,0,0.07,1,9
1.0,18,0.0,0,5
1.0,0,0.0,1,11
1.0,233,0.0,1,11
0.07,0,0.07,1,9
1.0,276,0.08,1,11
1.0,44,0.01,2,11
1.0,8,0.0,0,5
1.0,1828,0.08,1,11
1.0,200,0.0,1,11
1.0,46,0.0,2,11
0.07,0,0.09,1,9
1.0,0,0.01,1,9
1.0,216,0.0,1,11
0.07,0,0.06,1,9
1.0,234,0.0,1,11
1.0,220,0.0,1,11
0.02,0,0.07,1,9
0.14,105,0.01,2,11
1.0,0,0.0,1,11
0.06,0,0.08,1,9
0.01,0,0.06,1,9
0.03,0,0.08,1,9
1.0,288,0.0,1,11
0.03,0,0.08,1,9
0.02,0,0.07,1,9
0.08,1,0.2,2,17
1.0,28,0.02,2,20
1.0,279,0.0,1,11
1.0,1032,0.0,0,18
1.0,192,0.01,1,11
1.0,105,0.07,1,11
1.0,0,1.0,1,5
1.0,1330,0.03,1,11
1.0,520,0.0,0,18
0.09,0,0.02,1,9
1.0,230,0.0,1,11
1.0,44,0.0,2,11
1.0,271,0.0,1,11
1.0,179,0.0,1,11
1.0,852,0.02,1,11
1.0,222,0.0,1,11
1.0,314,0.0,1,11
0.07,0,0.06,1,9
1.0,230,0.0,1,11
0.03,0,0.07,1,9
0.01,0,0.08,1,9
1.0,857,0.02,1,11
1.0,234,0.0,1,11
1.0,1032,0.01,0,18
1.0,28,0.02,2,20
0.05,0,0.06,1,9
1.0,215,0.0,1,11
1.0,46,0.01,2,11
1.0,105,0.01,2,11
0.16,0,0.04,1,9
0.46,0,0.08,1,9
0.05,0,0.09,1,9
1.0,305,0.01,1,11
0.17,0,0.07,1,9
1.0,336,0.0,1,11
0.01,0,0.07,1,9
0.06,0,0.09,1,9
1.0,147,0.53,2,11
1.0,335,0.0,1,11
0.23,0,0.02,1,9
1.0,339,0.0,1,11
1.0,317,0.0,1,11
0.16,0,0.06,1,9
1.0,54540,0.0,1,0
0.01,0,0.08,1,9
1.0,42,0.01,2,11
1.0,986,0.04,1,11
0.02,0,0.08,1,9
1.0,183,0.01,0,11
0.03,0,0.07,1,9
1.0,405,0.0,1,11
0.09,0,0.05,1,9
1.0,785,0.12,1,11
1.0,258,0.0,1,11
0.04,0,0.06,1,9
1.0,8,0.0,0,5
1.0,318,0.0,1,11
0.01,0,0.07,1,9
0.09,0,0.07,1,9
0.02,0,0.07,1,9
1.0,216,0.0,1,11
0.08,0,0.08,1,15
1.0,291,0.0,1,11
1.0,224,0.0,1,11
0.01,0,0.99,1,17
0.0,0,0.08,1,9
1.0,17,0.01,2,11
0.11,0,0.06,1,9
1.0,29,0.01,2,11
1.0,105,0.02,2,11
0.08,30,0.01,0,11
1.0,325,0.0,1,11
0.14,0,0.05,1,9
1.0,0,0.0,1,11
1.0,12,0.04,1,11
1.0,212,0.0,1,11
1.0,240,0.0,1,11
1.0,292,0.0,1,11
1.0,172,0.0,1,11
0.05,0,0.07,1,9
1.0,310,0.0,1,11
1.0,44,0.02,2,11
0.33,145,0.54,2,11
1.0,1238,0.02,1,21
1.0,8,0.0,0,5
1.0,45,0.01,2,11
0.5,0,1.0,1,15
1.0,1551,0.67,1,11
1.0,1308,0.0,1,11
1.0,356,0.0,1,11
1.0,364,0.0,1,11
1.0,331,0.0,1,11
0.5,30,0.01,0,11
0.03,0,0.08,1,9
0.17,0,0.05,1,9
1.0,247,0.0,1,11
1.0,300,0.0,1,11
0.07,0,0.08,1,9
1.0,355,0.0,1,11
0.42,0,0.07,1,9
1.0,316,0.0,1,11
1.0,44,0.01,2,11
1.0,1458,0.03,1,11
0.06,0,0.05,1,9
0.5,146,0.51,2,11
1.0,0,0.82,1,15
0.05,0,0.07,1,9
1.0,1,0.73,2,17
0.11,0,0.08,1,9
0.04,0,0.07,1,9
0.4,146,0.85,2,11
0.08,0,0.08,1,9
1.0,13794,0.42,1,11
0.27,0,0.04,1,9
0.5,911,0.17,1,11
1.0,0,0.07,1,9
1.0,280,0.0,1,11
0.02,0,0.07,1,9
0.15,0,0.07,1,9
1.0,41,0.0,2,11
1.0,10,0.03,1,11
1.0,311,0.0,1,11
1.0,281,0.0,1,11
1.0,297,0.0,1,11
0.02,0,0.07,1,9
1.0,43,0.01,2,11
0.44,0,0.07,1,9
1.0,334,0.0,1,21
1.0,8,0.0,0,5
1.0,215,0.0,1,11
0.19,0,0.08,1,9
1.0,0,0.0,1,11
1.0,516,0.0,2,11
1.0,0,1.0,1,5
0.06,0,0.05,1,9
0.08,0,0.07,1,9
0.06,0,0.07,1,9
0.33,44,0.02,2,11
0.06,0,0.07,1,9
1.0,676,0.04,1,11
1.0,334,0.0,1,11
0.01,0,0.08,1,9
0.21,0,0.07,1,9
1.0,204,0.0,1,11
1.0,520,0.0,0,18
0.03,0,0.06,1,9
1.0,192,0.0,1,11
1.0,18,0.0,0,5
0.02,0,0.05,1,9
0.13,0,0.05,1,9
0.02,0,0.07,1,9
1.0,256,0.01,1,11
1.0,64,0.0,0,11
1.0,46,0.02,2,11
0.31,0,0.05,1,9
1.0,220,0.0,1,11
1.0,41,0.01,2,11
1.0,248,0.0,1,11
1.0,1250,0.02,1,21
0.08,0,0.07,1,9
1.0,44,0.01,2,11
1.0,209,0.04,1,11
0.08,5891,0.08,1,11
1.0,8,0.0,0,5
1.0,276,0.0,1,11
1.0,231,0.0,1,11
0.05,0,0.07,1,9
1.0,312,0.0,1,11
1.0,1,0.28,1,15
0.08,0,0.05,1,9
0.5,29,0.04,2,11
1.0,13239,0.04,1,11
0.02,0,0.07,1,9
1.0,8,0.09,1,11
0.17,0,0.05,1,9
1.0,44,0.0,2,11
0.08,0,0.06,1,9
0.19,0,0.06,1,9
1.0,324,0.0,1,11
0.03,0,0.07,1,9
1.0,18,0.0,0,5
1.0,355,0.0,1,11
1.0,1,0.68,1,15
0.09,0,0.1,1,9
1.0,54540,0.0,1,0
1.0,205,0.0,1,11
0.05,0,0.07,1,9
1.0,325,0.0,1,11
0.0,0,0.08,1,9
1.0,232,0.0,1,11
1.0,886,0.02,1,11
1.0,319,0.0,1,11
0.06,0,0.05,1,9
1.0,0,1.0,1,5
1.0,147,0.0,1,11
1.0,1451,0.09,1,11
1.0,54540,0.0,1,0
1.0,235,0.0,1,11
1.0,0,0.7,1,15
0.0,0,0.51,1,15
1.0,299,0.0,1,11
0.07,0,0.07,1,9
0.17,0,0.05,1,9
0.01,0,0.05,1,9
0.04,0,0.07,1,9
1.0,237,0.0,1,11
0.15,0,0.07,1,9
1.0,146,0.69,2,11
0.5,0,1.0,1,15
0.33,146,0.57,2,11
1.0,202,0.0,1,11
0.02,0,0.08,1,9
0.67,383,0.14,1,11
1.0,345,0.0,1,11
1.0,278,0.0,1,11
0.05,0,0.06,1,9
1.0,196,0.0,1,11
1.0,0,0.07,1,9
1.0,277,0.0,1,11
1.0,203,0.0,1,11
1.0,0,0.17,1,15
1.0,147,0.64,2,11
0.05,0,0.05,1,9
0.01,0,0.07,1,9
0.03,0,0.08,1,9
0.06,0,0.07,1,9
1.0,367,0.0,1,11
0.01,0,0.32,1,15
1.0,257,0.0,1,11
1.0,8,0.0,0,5
0.99,44,0.01,2,11
1.0,128,0.01,2,11
1.0,254,0.0,1,11
1.0,225,0.0,1,11
1.0,775,0.03,1,11
1.0,314,0.02,1,11
0.03,0,0.05,1,9
1.0,525,0.03,1,11
0.0,0,1.0,1,17
0.27,1,0.06,2,17
1.0,213,0.0,1,11
1.0,190,0.0,1,11
0.0,0,0.08,1,9
1.0,28,0.02,2,20
0.07,0,0.07,1,9
1.0,1067,0.02,1,11
1.0,126,0.01,2,11
1.0,333,0.0,1,11
0.05,0,0.06,1,9
1.0,4491,0.06,1,11
0.05,0,0.07,1,9
1.0,54540,0.0,1,0
1.0,239,0.0,1,11
1.0,0,0.0,1,11
1.0,1258,0.02,1,11
1.0,0,0.02,1,9
0.04,0,0.05,1,9
1.0,0,0.0,1,11
1.0,42,0.01,2,11
1.0,224,0.0,1,11
1.0,231,0.0,1,11
1.0,147,0.57,2,11
1.0,44,0.01,2,11
0.5,183,0.01,0,11
0.03,0,0.07,1,9
0.01,0,0.07,1,9
1.0,125,0.0,1,3
1.0,13,0.04,1,11
1.0,233,0.0,1,11
0.5,30,0.01,0,11
0.03,0,0.06,1,9
1.0,278,0.0,1,11
0.5,0,0.48,1,15
0.01,0,0.06,1,9
1.0,237,0.0,1,11
1.0,301,0.02,1,11
1.0,246,0.0,1,11
1.0,230,0.0,1,11
1.0,46,0.0,2,11
1.0,147,0.55,2,11
0.42,0,0.1,1,9
1.0,641,0.05,1,11
1.0,28,0.01,2,20
0.13,0,0.06,1,9
1.0,82,0.0,1,11
0.07,0,0.07,1,9
0.01,0,0.59,1,17
0.06,0,0.06,1,9
1.0,46,0.0,2,11
0.03,0,0.07,1,9
0.01,0,0.06,1,9
1.0,376,0.0,1,11
0.13,0,0.05,1,9
1.0,105,0.01,2,11
1.0,334,0.0,1,21
0.07,0,0.05,1,9
0.25,30,0.01,0,11
1.0,1053,0.06,1,11
1.0,46,0.01,2,11
0.99,45,0.01,2,11
1.0,1539,0.02,1,11
0.02,0,0.08,1,9
0.03,0,0.07,1,9
1.0,358,0.0,1,11
1.0,44,0.0,2,11
1.0,282,0.0,1,11
1.0,323,0.0,1,11
1.0,105,0.03,2,11
1.0,218,0.0,1,11
0.02,0,0.07,1,9
0.08,0,0.06,1,9
1.0,329,0.0,1,11
1.0,788,0.07,1,11
1.0,311,0.0,1,11
0.09,0,0.1,1,9
0.09,0,0.06,1,9
1.0,35,0.04,1,11
1.0,1032,0.01,0,18
0.01,0,0.08,1,9
0.06,0,0.07,1,9
1.0,59,0.02,1,11
0.05,0,0.07,1,9
1.0,226,0.0,1,11
1.0,203,0.0,1,11
1.0,2544,0.02,1,11
1.0,1032,0.04,0,18
1.0,327,0.0,1,11
0.03,0,0.07,1,9
0.01,0,0.06,1,9
1.0,0,0.0,1,11
0.09,0,0.06,1,9
0.09,0,0.05,1,9
1.0,54540,0.0,1,0
1.0,0,0.32,1,15
0.06,0,0.07,1,9
1.0,28,0.02,2,20
1.0,8,0.0,0,5
0.2,0,0.11,1,9
0.07,0,0.06,1,9
1.0,763,0.04,1,11
0.04,0,0.07,1,9
1.0,307,0.0,1,11
0.06,0,0.09,1,9
0.07,0,0.06,1,9
1.0,236,0.0,1,11
1.0,246,0.0,1,21
0.14,0,0.05,1,9
0.02,0,0.07,1,9
0.04,0,0.07,1,9
1.0,300,0.0,1,11
1.0,254,0.0,1,11
1.0,147,0.51,2,11
0.12,0,0.06,1,9
1.0,1,0.73,1,15
1.0,334,0.0,1,21
0.03,0,0.15,1,15
1.0,1221,0.02,1,11
0.07,0,0.06,1,9
1.0,8,0.0,0,5
1.0,299,0.0,1,11
1.0,1874,0.03,1,11
1.0,1301,0.1,1,11
1.0,1,0.66,1,15
1.0,43,0.01,2,11
1.0,1032,0.01,0,18
0.35,0,0.07,1,9
1.0,330,0.0,1,11
0.09,0,0.05,1,9
1.0,302,0.0,1,11
0.09,0,0.06,1,9
0.07,0,0.07,1,9
0.07,0,0.07,1,9
0.09,0,0.09,1,9
0.5,0,0.08,1,9
1.0,284,0.0,1,11
0.04,0,0.08,1,9
1.0,12,0.04,1,11
1.0,238,0.0,1,11
1.0,1194,0.01,1,11
0.05,6601,0.06,1,11
1.0,12,0.07,1,11
1.0,1452,0.03,1,11
1.0,2194619,0.03,1,11
0.15,0,0.07,1,9
0.0,0,0.52,1,15
0.05,0,0.07,1,9
1.0,240,0.0,1,11
0.04,0,0.08,1,9
1.0,42,0.01,2,11
0.03,0,0.07,1,9
1.0,336,0.0,1,11
1.0,11436,0.02,1,11
0.13,0,0.04,1,9
1.0,195,0.0,1,11
1.0,516,0.0,2,11
1.0,286,0.0,1,11
0.07,0,0.08,1,9
1.0,215,0.0,1,11
1.0,196,0.0,1,11
1.0,722,0.03,1,11
0.5,0,0.68,1,15
0.01,0,0.06,1,9
1.0,214,0.0,1,11
0.01,0,0.06,1,9
1.0,232,0.0,1,11
1.0,224,0.0,1,11
1.0,8,0.0,0,5
1.0,192,0.02,1,11
1.0,294,0.0,1,11
0.01,0,0.33,1,17
1.0,213,0.0,1,11
0.03,0,0.07,1,9
1.0,105,0.01,2,11
0.02,0,0.07,1,9
1.0,303,0.0,1,11
0.06,0,0.08,1,9
1.0,44,0.02,2,11
1.0,73,0.03,2,11
0.5,197,0.08,1,11
1.0,0,0.15,1,15
1.0,242,0.0,1,11
0.02,0,0.05,1,9
1.0,308,0.0,1,11
0.05,0,0.07,1,9
0.03,0,0.05,1,9
1.0,291,0.0,1,11
0.52,0,0.02,1,9
1.0,2697,0.03,1,11
1.0,1,0.02,2,17
0.17,0,0.07,1,9
0.02,0,0.09,1,9
1.0,200,0.0,1,11
0.04,0,0.09,1,9
0.05,0,0.09,1,9
1.0,8,0.02,1,11
1.0,1032,0.01,0,18
1.0,28,0.02,2,20
0.02,0,0.07,1,9
1.0,341,0.01,1,11
1.0,8,0.06,1,11
0.05,0,0.05,1,9
0.14,0,0.05,1,9
1.0,1483,0.0,1,11
1.0,46,0.01,2,11
1.0,2426,0.0,1,11
1.0,36,0.05,2,11
1.0,210,0.0,1,11
0.17,0,0.05,1,9
0.22,0,0.07,1,9
1.0,170,0.0,1,11
0.04,0,0.08,1,9
1.0,8,0.0,0,5
0.03,0,0.06,1,9
0.03,0,0.07,1,9
0.1,0,0.05,1,9
0.13,0,0.07,1,9
1.0,269,0.0,1,11
1.0,315,0.0,1,11
0.01,0,0.06,1,9
0.01,0,0.08,1,9
0.02,0,0.06,1,9
1.0,0,0.13,1,17
1.0,216,0.0,1,11
1.0,0,0.0,1,11
1.0,0,0.77,1,15
1.0,235,0.0,1,11
1.0,667,0.05,1,11
1.0,1160,0.07,1,11
1.0,8,0.0,0,10
1.0,1299,0.11,1,11
0.01,0,0.05,1,9
0.06,0,0.06,1,9
1.0,711,0.05,1,11
1.0,1032,0.0,0,18
1.0,8,0.0,0,10
1.0,0,0.51,1,15
0.02,0,0.07,1,9
0.0,0,0.81,1,17
1.0,42,0.01,2,11
0.03,0,0.14,1,15
1.0,147,0.66,2,11
1.0,0,0.0,1,11
0.07,0,0.06,1,9
1.0,222,0.0,1,11
0.11,0,0.07,1,9
1.0,198,0.0,1,11
0.5,0,0.25,1,15
1.0,520,0.0,0,18
0.0,0,0.07,1,9
0.1,0,0.05,1,9
0.22,0,0.02,1,9
1.0,8,0.0,0,10
0.06,0,0.06,1,9
0.09,0,0.06,1,9
0.12,0,0.12,1,9
1.0,217,0.0,1,11
0.07,0,0.09,1,9
1.0,8,0.0,0,5
1.0,252,0.0,1,11
1.0,200,0.0,1,11
0.25,0,0.02,1,9
1.0,243,0.0,1,11
0.01,0,0.06,1,9
1.0,0,0.0,1,11
0.0,0,0.06,1,9
0.03,0,0.07,1,9
0.01,0,0.07,1,9
0.1,0,0.07,1,9
0.04,0,0.09,1,9
1.0,209,0.0,1,11
1.0,215,0.0,1,11
0.02,0,0.08,1,9
1.0,31,1.0,2,11
1.0,338,0.0,1,11
1.0,249,0.0,1,11
1.0,232,0.0,1,11
1.0,260,0.01,1,11
0.13,0,0.07,1,9
0.05,0,0.12,1,9
1.0,2168,0.02,1,11
1.0,373,0.1,1,11
1.0,347,0.0,1,11
1.0,354,0.0,1,11
0.07,0,0.02,1,9
0.05,0,0.07,1,9
0.14,0,0.06,1,9
0.04,0,0.06,1,9
1.0,305,0.01,1,11
1.0,0,0.05,1,9
0.25,105,0.01,2,11
1.0,221,0.0,1,11
1.0,887,0.04,1,11
1.0,695,0.02,1,11
1.0,520,0.0,0,18
1.0,495,0.0,1,11
0.1,0,0.06,1,9
0.03,0,0.08,1,9
1.0,2760,0.0,1,11
1.0,45,0.01,2,11
1.0,756,0.07,1,11
0.0,0,1.0,1,17
1.0,218,0.0,1,11
0.05,0,0.08,1,9
0.1,0,0.06,1,9
0.06,0,0.08,1,9
1.0,7196,0.05,1,11
1.0,46,0.01,2,11
1.0,12,0.05,1,11
1.0,45,0.02,2,11
1.0,43,0.0,2,11
1.0,520,0.0,0,18
1.0,206,0.0,1,11
1.0,1032,0.01,0,18
1.0,2634,0.18,1,11
1.0,334,0.02,1,11
1.0,4539,0.03,1,11
1.0,320,0.0,1,11
0.5,30,0.01,0,11
1.0,0,0.01,1,11
1.0,281,0.0,1,11
1.0,345,0.0,1,11
0.08,0,0.06,1,9
1.0,223,0.0,1,11
0.03,0,0.09,1,9
1.0,0,0.0,1,11
1.0,8,0.0,0,5
